ID,Name,Scientific Name
71,Mozambique Spitting Cobra,Naja mossambica
72,Black Mamba,Dendroaspis polylepis
73,Southern Tree Agama,Acanthocercus atricollis
74,Leopard Tortoise,Stigmochelys pardalis
75,African Wildcat,Felis lybica
76,Common Springbok,Antidorcas marsupialis
77,Southern Bushbuck,Tragelaphus sylvaticus
78,Sharpe's Grysbok,Raphicerus sharpei
79,Yellow Mongoose,Cynictis penicillata
80,White-tailed Mongoose,Ichneumia albicauda
81,African Civet,Civettictis civetta
82,Common Slender Mongoose,Herpestes sanguineus
83,Dwarf Mongoose,Helogale parvula
84,Honey Badger,Mellivora capensis
85,Serval,Leptailurus serval
86,Caracal,Caracal caracal
87,Bat-eared Fox,Otocyon megalotis
88,Martial Eagle,Polemaetus bellicosus
89,Bateleur,Terathopius ecaudatus
90,Tawny Eagle,Aquila rapax
91,Brown Snake Eagle,Circaetus cinereus
92,African Hawk-Eagle,Aquila spilogaster
93,Lappet-faced Vulture,Torgos tracheliotos
94,White-backed Vulture,Gyps africanus
95,Hooded Vulture,Necrosyrtes monachus
96,Grey Crowned Crane,Balearica regulorum
97,Saddle-billed Stork,Ephippiorhynchus senegalensis
98,African Spoonbill,Platalea alba
99,Purple Heron,Ardea purpurea
100,Giant Kingfisher,Megaceryle maxima
101,Southern Carmine Bee-eater,Merops nubicus
102,Red-billed Hornbill,Tockus erythrorhynchus
103,Fork-tailed Drongo,Dicrurus adsimilis
104,Crimson-breasted Shrike,Laniarius atrococcineus
105,Acacia Pied Barbet,Tricholaema leucomelas
106,Yellow-fronted Tinkerbird,Pogoniulus chrysoconus
107,African Green Pigeon,Treron calvus
108,Brown-headed Parrot,Poicephalus cryptoxanthus
109,Southern Red Bishop,Euplectes orix
110,Southern Masked Weaver,Ploceus velatus
111,Village Weaver,Ploceus cucullatus
112,Red-billed Quelea,Quelea quelea
113,Black-winged Stilt,Himantopus himantopus
114,Three-banded Plover,Charadrius tricollaris
115,Water Thick-knee,Burhinus vermiculatus
116,Red-faced Mousebird,Urocolius indicus
117,Rock Monitor,Varanus albigularis
118,Flap-necked Chameleon,Chamaeleo dilepis
119,Helmeted Terrapin,Pelomedusa subrufa
120,Southern Tree Snake,Philothamnus natalensis
121,Common Egg-eater,Dasypeltis scabra
122,African House Snake,Boaedon fuliginosus
123,African Bullfrog,Pyxicephalus adspersus
124,Painted Reed Frog,Hyperolius marmoratus
125,Red-banded Rubber Frog,Phrynomantis bifasciatus
126,Tremolo Sand Frog,Tomopterna cryptotis
127,Common Caco,Cacosternum boettgeri
128,African Clawed Frog,Xenopus laevis
129,Delicate Reed Frog,Hyperolius pusillus
130,Foam-nest Tree Frog,Chiromantis xerampelina
131,Bushveld Rain Frog,Breviceps adspersus
